"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
22,143,Hispanic,4.5%,2.2%,1.4%,11,4,4,,,,,,,,,,
22,143,Non-Hispanic,22.8%,41.9%,84.7%,56,78,243,,,,,,,,,,
22,143,Unknown/Missing,72.8%,55.9%,13.9%,179,104,40,,,,,,,,,,
22,590,Hispanic,4.8%,3.1%,5.2%,22,11,17,,,,,,,,,,
22,590,Non-Hispanic,77.8%,77.9%,85.5%,353,279,278,,,,,,,,,,
22,590,Unknown/Missing,17.4%,19.0%,9.2%,79,68,30,,,,,,,,,,
23,161,Hispanic,2.0%,4.8%,3.6%,13,29,27,,,,,,,,,,
23,161,Non-Hispanic,21.2%,25.6%,75.5%,137,155,563,,,,,,,,,,
23,161,Unknown/Missing,76.8%,69.6%,20.9%,496,422,156,,,,,,,,,,
23,775,Hispanic,6.0%,2.7%,4.0%,13,4,7,,,,,,,,,,
23,775,Non-Hispanic,23.3%,37.3%,75.9%,50,56,132,,,,,,,,,,
23,775,Unknown/Missing,70.7%,60.0%,20.1%,152,90,35,,,,,,,,,,
23A,770,Hispanic,7.0%,4.3%,7.0%,54,32,43,,,,,,,,,,
23A,770,Non-Hispanic,62.4%,60.9%,81.6%,479,450,504,,,,,,,,,,
23A,770,Unknown/Missing,30.6%,34.8%,11.5%,235,257,71,,,,,,,,,,
24,009,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
24,009,Non-Hispanic,23.9%,44.0%,97.9%,38,55,93,,,,,,,,,,
24,009,Unknown/Missing,76.1%,56.0%,2.1%,121,70,2,,,,,,,,,,
24,019,Hispanic,1.3%,2.3%,3.4%,6,9,10,,,,,,,,,,
24,019,Non-Hispanic,23.7%,35.4%,81.4%,111,137,241,,,,,,,,,,
24,019,Unknown/Missing,75.1%,62.3%,15.2%,352,241,45,,,,,,,,,,
24,031,Hispanic,0.0%,3.5%,6.6%,0,5,8,,,,,,,,,,
24,031,Non-Hispanic,22.6%,23.4%,32.0%,31,33,39,,,,,,,,,,
24,031,Unknown/Missing,77.4%,73.0%,61.5%,106,103,75,,,,,,,,,,
24,125,Hispanic,0.0%,1.2%,2.9%,0,1,3,,,,,,,,,,
24,125,Non-Hispanic,8.5%,8.6%,65.4%,7,7,68,,,,,,,,,,
24,125,Unknown/Missing,91.5%,90.1%,31.7%,75,73,33,,,,,,,,,,
24,680,Hispanic,2.4%,1.5%,1.1%,17,11,7,,,,,,,,,,
24,680,Non-Hispanic,32.7%,45.2%,91.3%,235,322,558,,,,,,,,,,
24,680,Unknown/Missing,65.0%,53.3%,7.5%,467,380,46,,,,,,,,,,
25,005,Hispanic,0.0%,0.9%,1.3%,0,1,1,,,,,,,,,,
25,005,Non-Hispanic,19.3%,30.4%,91.1%,23,34,72,,,,,,,,,,
25,005,Unknown/Missing,80.7%,68.8%,7.6%,96,77,6,,,,,,,,,,
